timestamp,open,high,low,close,volume
2026-04-28 19:55:00,232.7500,233.0000,232.7500,232.8750,208
2026-04-28 19:50:00,232.7525,233.0000,232.6901,232.7500,85
2026-04-28 19:45:00,232.7500,232.9600,232.6900,232.8600,53
2026-04-28 19:40:00,232.9922,233.0000,232.7100,232.9300,124
2026-04-28 19:35:00,232.7700,232.9597,232.7700,232.8500,60
2026-04-28 19:30:00,232.7000,232.9597,232.6900,232.9597,100
2026-04-28 19:25:00,232.7200,232.7200,232.6600,232.6700,99
2026-04-28 19:20:00,233.0000,233.0000,232.5400,232.7200,105
2026-04-28 19:15:00,232.9402,232.9402,232.7600,232.7600,11
2026-04-28 19:10:00,232.9700,232.9800,232.7410,232.7600,74
2026-04-28 19:05:00,232.8548,233.0000,232.8100,232.9700,227
2026-04-28 19:00:00,233.0400,233.0400,232.5400,232.8100,618612
2026-04-28 18:55:00,232.7100,232.8200,232.5998,232.8200,121
2026-04-28 18:50:00,232.8000,232.8000,232.6500,232.7100,310
2026-04-28 18:45:00,232.8900,232.8900,232.8001,232.8001,161
2026-04-28 18:40:00,232.9900,232.9900,232.8000,232.8100,117
2026-04-28 18:35:00,232.8500,232.9000,232.8500,232.9000,75
2026-04-28 18:30:00,233.0400,233.0400,232.8000,232.9000,618496
2026-04-28 18:25:00,232.8300,232.9900,232.8300,232.9900,86
2026-04-28 18:20:00,232.8400,233.0000,232.8000,232.8300,173
2026-04-28 18:15:00,232.8800,232.8800,232.8000,232.8400,66
2026-04-28 18:10:00,233.0000,233.0000,232.8800,233.0000,16
2026-04-28 18:05:00,232.9200,233.0000,232.8800,232.9300,63
2026-04-28 18:00:00,232.8000,232.9200,232.8000,232.9000,488
2026-04-28 17:55:00,232.8182,232.9740,232.8000,232.8100,151
2026-04-28 17:50:00,232.8900,232.9000,232.8000,232.8100,103
2026-04-28 17:45:00,232.7000,232.9000,232.6000,232.8900,54
2026-04-28 17:40:00,232.5100,232.7000,232.5100,232.7000,15
2026-04-28 17:35:00,232.8250,232.8900,232.6500,232.6500,20
2026-04-28 17:30:00,232.7000,232.8000,232.5100,232.6500,38
2026-04-28 17:25:00,232.8000,232.8000,232.5541,232.6500,150
2026-04-28 17:20:00,232.8800,232.8800,232.5100,232.7900,73
2026-04-28 17:15:00,232.8500,232.9363,232.5100,232.9363,41
2026-04-28 17:10:00,232.4000,233.0000,232.4000,232.5600,113
2026-04-28 17:05:00,232.5300,233.0000,232.5100,232.6000,164
2026-04-28 17:00:00,232.8500,232.8800,232.4000,232.4624,1834
2026-04-28 16:55:00,232.7390,232.9610,232.7100,232.8000,172
2026-04-28 16:50:00,232.7600,233.0400,232.6100,232.7000,5916
2026-04-28 16:45:00,232.7500,233.0000,232.7500,232.8100,45
2026-04-28 16:40:00,232.7800,233.1150,232.6100,232.7800,186
2026-04-28 16:35:00,232.6800,232.8000,232.6197,232.7800,111
2026-04-28 16:30:00,232.8000,233.0887,232.6600,232.8800,596
2026-04-28 16:25:00,233.0870,233.1000,232.7600,232.9500,3183
2026-04-28 16:20:00,232.8200,233.1000,232.7900,233.0013,366
2026-04-28 16:15:00,233.0400,233.0900,232.3943,233.0600,2992
2026-04-28 16:10:00,233.0400,233.0400,232.6500,232.8457,618354
2026-04-28 16:05:00,233.0300,233.1000,232.6500,232.6900,1998
2026-04-28 16:00:00,233.0000,233.6000,232.6500,233.0400,1327023
2026-04-28 15:55:00,233.1700,233.4900,232.8500,233.0000,338605
2026-04-28 15:50:00,233.3200,233.3950,232.8950,233.2100,164069
2026-04-28 15:45:00,233.2150,233.5550,233.2000,233.2900,110113
2026-04-28 15:40:00,232.9775,233.3800,232.9775,233.2314,73669
2026-04-28 15:35:00,232.9900,233.1350,232.8400,233.0075,55964
2026-04-28 15:30:00,233.2650,233.3180,232.6801,233.0488,68342
2026-04-28 15:25:00,232.8000,233.2700,232.7400,233.2650,84680
2026-04-28 15:20:00,232.8450,232.8800,232.6500,232.7717,36034
2026-04-28 15:15:00,232.3700,232.8500,232.3600,232.8500,59393
2026-04-28 15:10:00,232.4200,232.6000,232.3300,232.4100,32036
2026-04-28 15:05:00,232.2200,232.5550,232.1800,232.4200,24279
2026-04-28 15:00:00,232.4800,232.4800,232.0000,232.2300,74049
2026-04-28 14:55:00,232.5350,232.5750,232.3101,232.5350,29553
2026-04-28 14:50:00,232.2600,232.6950,232.2600,232.5400,46093
2026-04-28 14:45:00,232.2700,232.3500,232.0800,232.2300,30200
2026-04-28 14:40:00,232.1400,232.4000,232.1400,232.2700,43116
2026-04-28 14:35:00,232.4300,232.6000,232.2000,232.2000,33360
2026-04-28 14:30:00,232.3450,232.4700,232.2400,232.4600,50449
2026-04-28 14:25:00,231.8300,232.3559,231.7950,232.3450,35866
2026-04-28 14:20:00,231.6500,231.9700,231.5900,231.8300,22514
2026-04-28 14:15:00,231.4200,231.7150,231.3200,231.6600,31353
2026-04-28 14:10:00,231.5500,231.7100,231.3300,231.4100,30799
2026-04-28 14:05:00,231.5400,231.6500,231.1850,231.5650,76084
2026-04-28 14:00:00,231.5250,231.8150,231.5100,231.6000,25035
2026-04-28 13:55:00,231.5100,231.6400,231.4200,231.5400,30749
2026-04-28 13:50:00,231.7500,231.8200,231.5500,231.5500,38683
2026-04-28 13:45:00,231.8400,231.9500,231.7200,231.7900,31472
2026-04-28 13:40:00,231.7400,232.0500,231.7100,231.8400,20697
2026-04-28 13:35:00,232.1400,232.3399,231.7000,231.7313,43075
2026-04-28 13:30:00,232.7050,232.7050,232.1000,232.1000,51141
2026-04-28 13:25:00,232.3063,232.7200,232.3000,232.6900,30234
2026-04-28 13:20:00,232.3600,232.5000,232.2400,232.3350,27112
2026-04-28 13:15:00,232.3800,232.5800,232.2300,232.3400,50619
2026-04-28 13:10:00,232.2600,232.7199,232.2000,232.3700,42768
2026-04-28 13:05:00,232.2658,232.4350,232.2400,232.2900,23107
2026-04-28 13:00:00,232.4700,232.6000,232.2500,232.2600,25328
2026-04-28 12:55:00,232.4300,232.6000,232.3200,232.5300,24791
2026-04-28 12:50:00,232.2900,232.6750,232.2300,232.4500,49482
2026-04-28 12:45:00,232.0201,232.3399,232.0201,232.2800,28308
2026-04-28 12:40:00,232.3850,232.3850,232.0800,232.1200,39486
2026-04-28 12:35:00,231.8500,232.4300,231.7800,232.3850,56232
2026-04-28 12:30:00,231.4400,231.9690,231.3800,231.8500,61182
2026-04-28 12:25:00,231.4550,231.5356,231.3700,231.4500,17084
2026-04-28 12:20:00,231.3300,231.4999,231.2201,231.4550,20136
2026-04-28 12:15:00,231.5400,231.5400,231.2500,231.3400,23237
2026-04-28 12:10:00,231.5300,231.7200,231.4000,231.5000,36489
2026-04-28 12:05:00,231.2150,231.6000,231.2000,231.5000,23663
2026-04-28 12:00:00,231.2700,231.4300,231.1750,231.2125,27060
2026-04-28 11:55:00,231.5400,231.5400,230.9930,231.2200,30705
2026-04-28 11:50:00,231.4150,231.5399,231.2900,231.5399,19212
2026-04-28 11:45:00,231.5201,231.6500,231.3850,231.4100,20441
2026-04-28 11:40:00,231.9100,231.9600,231.4800,231.5500,24304
